line,prob,status,code
1,0.0,SAFE,<?php
2,0.4566014109065384,SUSPICIOUS,/* 
3,0.2362954742608055,SAFE,Unsafe sample
4,0.1247206436044179,SAFE,input : get the UserData field of $_SESSION
5,0.1247206436044179,SAFE,sanitize : none
6,0.1323884855637884,SAFE,construction : concatenation with simple quote
7,0.06857778440579085,SAFE,*/
8,0.0,SAFE,
9,0.0,SAFE,
10,0.0,SAFE,
11,0.18275682189991083,SAFE,/*Copyright 2015 Bertrand STIVALET 
12,0.0,SAFE,
13,0.30704848925118977,SAFE,"Permission is hereby granted, without written agreement or royalty fee, to"
14,0.0,SAFE,
15,0.36797960797909635,SAFE,"use, copy, modify, and distribute this software and its documentation for"
16,0.0,SAFE,
17,0.514017212476604,SUSPICIOUS,"any purpose, provided that the above copyright notice and the following"
18,0.0,SAFE,
19,0.4505140475507023,SUSPICIOUS,three paragraphs appear in all copies of this software.
20,0.0,SAFE,
21,0.0,SAFE,
22,0.7738538802360276,UNSAFE,"IN NO EVENT SHALL AUTHORS BE LIABLE TO ANY PARTY FOR DIRECT,"
23,0.0,SAFE,
24,0.7394568355832182,UNSAFE,"INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES ARISING OUT OF THE "
25,0.0,SAFE,
26,0.7665999338416716,UNSAFE,"USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF AUTHORS HAVE"
27,0.0,SAFE,
28,0.297290716347453,SAFE,BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.
29,0.0,SAFE,
30,0.0,SAFE,
31,0.5415806248107988,UNSAFE,"AUTHORS SPECIFICALLY DISCLAIM ANY WARRANTIES INCLUDING, BUT NOT"
32,0.0,SAFE,
33,0.5617513615115849,UNSAFE,"LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A"
34,0.0,SAFE,
35,0.3400176950422171,SAFE,"PARTICULAR PURPOSE, AND NON-INFRINGEMENT."
36,0.0,SAFE,
37,0.0,SAFE,
38,0.2762696143417462,SAFE,"THE SOFTWARE IS PROVIDED ON AN ""AS-IS"" BASIS AND AUTHORS HAVE NO"
39,0.0,SAFE,
40,0.28822541968295723,SAFE,"OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR"
41,0.0,SAFE,
42,0.25286015274218376,SAFE,MODIFICATIONS.*/
43,0.0,SAFE,
44,0.0,SAFE,
45,0.030543127139761293,SAFE,$tainted = $_SESSION['UserData'];
46,0.0,SAFE,
47,0.0,SAFE,//no_sanitizing
48,0.0,SAFE,
49,0.030319576851355903,SAFE,"$query = ""SELECT lastname, firstname FROM drivers, vehicles WHERE drivers.id = vehicles.ownerid AND vehicles.tag='"". $tainted . ""'"";"
50,0.0,SAFE,
51,0.0,SAFE,//flaw
52,0.9846148500250742,UNSAFE,"$conn = mysql_connect('localhost', 'mysql_user', 'mysql_password'); // Connection to the database (address, user, password)"
53,0.9846148500250742,UNSAFE,mysql_select_db('dbname') ;
54,0.9906204664374983,UNSAFE,"echo ""query : "". $query .""<br /><br />"" ;"
55,0.0,SAFE,
56,0.9865656227207781,UNSAFE,$res = mysql_query($query); //execution
57,0.0,SAFE,
58,0.9847982425594187,UNSAFE,while($data =mysql_fetch_array($res)){
59,0.9400085744295628,UNSAFE,print_r($data) ;
60,0.9797257049518128,UNSAFE,"echo ""<br />"" ;"
61,0.9410013466158911,UNSAFE,} 
62,0.9650513813629003,UNSAFE,mysql_close($conn);
63,0.0,SAFE,
64,0.0,SAFE,?>
